,省份,新增确诊,现有确诊,累计确诊,累计治愈,累计死亡
0,西藏,1,87,1450,1363,0
1,澳门,0,0,793,787,6
2,青海,0,0,239,239,0
3,台湾,44596,7276410,7302188,13742,12036
4,香港,652,327415,426565,88853,10297
5,贵州,0,36,942,904,2
6,吉林,0,4,40331,40322,5
7,新疆,6,323,1627,1301,3
8,宁夏,0,6,215,209,0
9,内蒙古,30,469,4211,3741,1
10,甘肃,0,0,1351,1349,2
11,天津,6,75,2432,2354,3
12,山西,12,368,897,529,0
13,辽宁,1,97,2020,1921,2
14,黑龙江,0,59,3467,3395,13
15,海南,0,11,8979,8962,6
16,河北,0,1,2033,2025,7
17,陕西,25,144,3916,3769,3
18,云南,3,185,2626,2439,2
19,广西,1,7,2341,2332,2
20,福建,13,198,4671,4472,1
21,上海,2,46,64241,63600,595
22,北京,19,235,4524,4280,9
23,江苏,13,109,2586,2477,0
24,四川,11,337,6145,5805,3
25,山东,0,24,3152,3121,7
26,江西,0,0,1495,1494,1
27,重庆,6,159,1255,1090,6
28,安徽,0,6,1514,1502,6
29,湖南,7,72,1556,1480,4
30,河南,7,110,3453,3321,22
31,广东,40,644,11086,10434,8
32,浙江,8,103,3535,3431,1
33,湖北,0,8,68437,63917,4512
